id,name,description,count,bonus
1,i_am_a_bunny_book,I am a Bunny Hardcover Book,1,0
2,laugh_out_loud_joke_book,Laugh Out Loud Jokes for Kids Paperback Book,1,0
3,rawlings_baseball,Rawlings Recreational Use Baseball,1,+1
4,folgers_classic_roast_coffee,Folgers Classic Roast Coffee,1,0
5,scotch_bubble_mailer,Scotch Bubble Mailer,2,0
6,elmers_washable_no_run_school_glue,Elmers's Glue-All,2,0
7,hanes_tube_socks,Hanes Tube Socks,1,+1
8,womens_knit_gloves,Women's Knit Gloves,1,+1
9,cloud_b_plush_bear,Cloud B Plush Bear,1,+1
10,kyjen_squeakin_eggs_plush_puppies,Plush Puppies Squeakin' Eggs,1,+1
11,creativity_chenille_stems,Creativity Street Chenille Stems - 100 Count,2,0
12,oral_b_toothbrush_red,Oral-B Cavity Defense Toothbrush (red),1,0
13,cool_shot_glue_sticks,Cool Shot Mini Glue Sticks,1,0
14,dr_browns_bottle_brush,Dr. Brown's Natural Flow Bottle Brush,1,+2
15,fiskars_scissors_red,"Fiskars Scissors 5"" Blunt Tip - Red",1,+2
16,platinum_pets_dog_bowl,Platinum Pets Dog Bowl,1,+1
17,fitness_gear_3lb_dumbbell,Fitness Gear 3lb Neoprene Dumbbell,1,+3
18,rolodex_jumbo_pencil_cup,Rolodex Wire Mesh Jumbo Pencil Holder,1,+3
19,expo_dry_erase_board_eraser,Expo White Board Care Eraser,2,0
20,kleenex_tissue_box,Kleenex Cool Touch Tissue Box,1,0
21,crayola_24_ct,Crayola Crayons,1,0
22,dove_beauty_bar,Dove Dry Oil Beauty Bar,1,0
23,staples_index_cards,Staples 3x5 Ruled Index Cards,2,0
24,up_glucose_bottle,Up & Up Glucose Tablets,1,0
25,dasani_water_bottle,Dasani Water Bottle,2,+2
26,cherokee_easy_tee_shirt,Cherokee Easy Tee T-Shirt,1,+1
27,peva_shower_curtain_liner,PEVA Shower Curtain Liner,1,0
28,barkely_hide_bones,Boots & Barkley Beef hide Bones,1,0
29,soft_white_lightbulb,40W Soft White Lightbulb,1,0
30,safety_first_outlet_plugs,Safety 1st Ultra Clear Outlet Plugs,1,0
31,command_hooks,Command Hooks 6pack,1,0
32,easter_turtle_sippy_cup,Easter Turtle Figural Sippy Cup,1,+2
33,scotch_duct_tape,Scotch Cloth Duct Tape,2,+1
34,woods_extension_cord,Woods 6ft. Extension Cord,1,+1
35,clorox_utility_brush,Clorox Utility Brush,1,+2
36,kleenex_paper_towels,Kleenex Viva Paper Towels,1,+1
37,ticonderoga_12_pencils,Ticonderoga #2 Pencils - 12 Count,1,0
38,jane_eyre_dvd,Jane Eyre DVD,1,0
39,oral_b_toothbrush_green,Oral-B Cavity Defense Toothbrush (green),1,0
